date	College of Architecture	College of Computing	College of Engineering	Ivan Allen College	Scheller College of Business	College of Sciences	United States
20141231	50	87.3	64.6	70	75.3	52	94.4
20140630	52.2	87.5	65.9	57.1	82.2	38.9	93.7
20131231	42.9	88.6	63.1	57.9	69.2	32.3	93.3
20130630	61.3	85.7	69	41.3	89.3	39.5	92.5
20121231	61.5	87.8	63.2	43.8	69.5	58.6	92.1
20120630	56.4	81.7	68.9	57.7	70.4	52.6	91.8
20111231	35.7	77.4	58.2	43.5	76.6	30	91.5
20110630	47.7	75	64.2	55.3	72.9	47.7	91
20101231	30	74.2	55.2	35	64	50	90.7
20100630	45.7	63.5	55.1	49.1	54.3	42.9	90.4
20091231	61.1	64	45.7	30	66.7	35	90.1
20090630	52.7	85.7	59.8	44.4	49.3	33.3	90.6
20081231	51.9	79.3	62.7	45	54.3	47.8	92.7
20080630	59.3	78	71.3	51.4	64.8	34.1	94.6
20071231	78.3	85.7	75.9	44	57.6	50	95
20070630	56.9	86.7	74	55.2	56.6	31	95.6
20061231	88.2	75.7	66.9	51.9	53.9	57.1	95.6
